date,flag
05-02-2010,0
12-02-2010,1
19-02-2010,0
26-02-2010,0
05-03-2010,0
12-03-2010,0
19-03-2010,0
26-03-2010,0
02-04-2010,0
09-04-2010,0
16-04-2010,0
23-04-2010,0
30-04-2010,0
07-05-2010,0
14-05-2010,0
21-05-2010,0
28-05-2010,0
04-06-2010,0
11-06-2010,0
18-06-2010,0
25-06-2010,0
02-07-2010,0
09-07-2010,0
16-07-2010,0
23-07-2010,0
30-07-2010,0
06-08-2010,0
13-08-2010,0
20-08-2010,0
27-08-2010,0
03-09-2010,0
10-09-2010,1
17-09-2010,0
24-09-2010,0
01-10-2010,0
08-10-2010,0
15-10-2010,0
22-10-2010,0
29-10-2010,0
05-11-2010,0
12-11-2010,0
19-11-2010,0
26-11-2010,1
03-12-2010,0
10-12-2010,0
17-12-2010,0
24-12-2010,0
31-12-2010,1
07-01-2011,0
14-01-2011,0
21-01-2011,0
28-01-2011,0
04-02-2011,0
11-02-2011,1
18-02-2011,0
25-02-2011,0
04-03-2011,0
11-03-2011,0
18-03-2011,0
25-03-2011,0
01-04-2011,0
08-04-2011,0
15-04-2011,0
22-04-2011,0
29-04-2011,0
06-05-2011,0
13-05-2011,0
20-05-2011,0
27-05-2011,0
03-06-2011,0
10-06-2011,0
17-06-2011,0
24-06-2011,0
01-07-2011,0
08-07-2011,0
15-07-2011,0
22-07-2011,0
29-07-2011,0
05-08-2011,0
12-08-2011,0
19-08-2011,0
26-08-2011,0
02-09-2011,0
09-09-2011,1
16-09-2011,0
23-09-2011,0
30-09-2011,0
07-10-2011,0
14-10-2011,0
21-10-2011,0
28-10-2011,0
04-11-2011,0
11-11-2011,0
18-11-2011,0
25-11-2011,1
02-12-2011,0
09-12-2011,0
16-12-2011,0
23-12-2011,0
30-12-2011,1
06-01-2012,0
13-01-2012,0
20-01-2012,0
27-01-2012,0
03-02-2012,0
10-02-2012,1
17-02-2012,0
24-02-2012,0
02-03-2012,0
09-03-2012,0
16-03-2012,0
23-03-2012,0
30-03-2012,0
06-04-2012,0
13-04-2012,0
20-04-2012,0
27-04-2012,0
04-05-2012,0
11-05-2012,0
18-05-2012,0
25-05-2012,0
01-06-2012,0
08-06-2012,0
15-06-2012,0
22-06-2012,0
29-06-2012,0
06-07-2012,0
13-07-2012,0
20-07-2012,0
27-07-2012,0
03-08-2012,0
10-08-2012,0
17-08-2012,0
24-08-2012,0
31-08-2012,0
07-09-2012,1
14-09-2012,0
21-09-2012,0
28-09-2012,0
05-10-2012,0
12-10-2012,0
19-10-2012,0
26-10-2012,0
